,time,open,high,low,close,tick_volume,spread,real_volume
0,2025-03-10 02:00:00,2916.57,2918.01,2913.01,2913.79,2743,6,0
1,2025-03-10 03:00:00,2913.86,2918.22,2911.31,2912.16,3559,9,0
2,2025-03-10 04:00:00,2912.18,2914.52,2909.49,2911.56,3062,9,0
3,2025-03-10 05:00:00,2911.48,2913.63,2908.16,2911.02,2985,5,0
4,2025-03-10 06:00:00,2911.0,2912.63,2910.26,2910.99,2042,8,0
5,2025-03-10 07:00:00,2910.9,2911.95,2906.97,2909.89,2990,5,0
6,2025-03-10 08:00:00,2909.92,2914.54,2909.24,2914.39,3159,10,0
7,2025-03-10 09:00:00,2914.68,2915.37,2904.37,2908.36,3901,5,0
8,2025-03-10 10:00:00,2907.99,2910.64,2897.54,2897.8,4177,7,0
9,2025-03-10 11:00:00,2897.67,2915.32,2896.81,2911.23,3955,5,0
10,2025-03-10 12:00:00,2911.19,2911.26,2898.31,2902.87,3758,5,0
11,2025-03-10 13:00:00,2902.89,2904.65,2895.7,2903.97,3930,5,0
12,2025-03-10 14:00:00,2903.75,2907.56,2900.4,2906.56,4563,7,0
13,2025-03-10 15:00:00,2906.72,2908.64,2897.68,2903.77,4799,5,0
14,2025-03-10 16:00:00,2903.4,2909.09,2900.99,2908.07,5191,5,0
15,2025-03-10 17:00:00,2908.36,2910.52,2900.61,2904.52,4702,6,0
16,2025-03-10 18:00:00,2904.36,2906.79,2895.88,2895.9,4334,6,0
17,2025-03-10 19:00:00,2895.88,2896.08,2882.71,2886.07,4769,5,0
18,2025-03-10 20:00:00,2886.06,2889.47,2880.3,2885.54,4156,5,0
19,2025-03-10 21:00:00,2885.21,2890.93,2880.28,2885.22,4344,5,0
20,2025-03-10 22:00:00,2885.23,2889.43,2884.18,2889.24,1572,6,0
21,2025-03-11 00:00:00,2888.27,2890.17,2884.04,2884.75,1415,5,0
22,2025-03-11 01:00:00,2884.76,2885.82,2882.4,2884.55,1226,5,0
23,2025-03-11 02:00:00,2884.53,2888.65,2884.16,2887.31,2768,5,0
24,2025-03-11 03:00:00,2887.44,2890.97,2880.26,2890.65,3379,5,0
25,2025-03-11 04:00:00,2890.63,2900.49,2889.93,2899.02,3293,5,0
26,2025-03-11 05:00:00,2899.05,2899.34,2895.16,2896.97,2560,5,0
27,2025-03-11 06:00:00,2896.95,2898.62,2895.69,2897.74,1689,6,0
28,2025-03-11 07:00:00,2897.73,2899.08,2892.81,2895.69,2572,7,0
29,2025-03-11 08:00:00,2895.93,2902.8,2893.5,2902.26,2965,6,0
30,2025-03-11 09:00:00,2902.26,2903.49,2897.56,2900.99,3020,5,0
31,2025-03-11 10:00:00,2901.22,2910.28,2900.41,2909.96,3108,5,0
32,2025-03-11 11:00:00,2909.97,2912.35,2908.69,2911.75,3459,11,0
33,2025-03-11 12:00:00,2911.77,2914.43,2910.94,2911.94,3008,6,0
34,2025-03-11 13:00:00,2911.95,2915.3,2910.73,2913.68,3027,12,0
35,2025-03-11 14:00:00,2913.61,2915.91,2910.53,2913.08,3671,6,0
36,2025-03-11 15:00:00,2913.11,2922.03,2906.95,2917.53,4478,5,0
37,2025-03-11 16:00:00,2916.58,2920.92,2911.97,2914.05,4495,6,0
38,2025-03-11 17:00:00,2914.07,2919.82,2913.93,2916.88,4084,8,0
39,2025-03-11 18:00:00,2916.82,2918.13,2915.13,2916.98,3448,5,0
40,2025-03-11 19:00:00,2917.04,2920.45,2914.02,2917.8,3621,8,0
41,2025-03-11 20:00:00,2917.76,2919.57,2915.15,2918.27,3028,7,0
42,2025-03-11 21:00:00,2918.29,2921.34,2917.51,2918.34,3300,5,0
43,2025-03-11 22:00:00,2918.19,2918.92,2915.15,2915.5,1429,5,0
44,2025-03-12 00:00:00,2915.81,2918.13,2914.43,2917.62,1423,5,0
45,2025-03-12 01:00:00,2917.65,2919.58,2915.5,2915.53,935,7,0
46,2025-03-12 02:00:00,2915.57,2915.57,2912.16,2914.22,1952,9,0
47,2025-03-12 03:00:00,2914.15,2917.28,2910.88,2914.92,3542,9,0
48,2025-03-12 04:00:00,2914.75,2918.22,2914.0,2916.23,2966,13,0
49,2025-03-12 05:00:00,2916.24,2919.84,2914.89,2914.99,2404,11,0
50,2025-03-12 06:00:00,2915.07,2916.07,2912.57,2914.98,1983,10,0
51,2025-03-12 07:00:00,2915.01,2916.57,2912.05,2916.03,3045,14,0
52,2025-03-12 08:00:00,2916.11,2921.14,2911.35,2911.88,3292,5,0
53,2025-03-12 09:00:00,2911.88,2915.63,2909.02,2914.42,3768,8,0
54,2025-03-12 10:00:00,2914.37,2922.18,2914.06,2922.1,3974,5,0
55,2025-03-12 11:00:00,2922.33,2925.47,2913.72,2914.82,3816,6,0
56,2025-03-12 12:00:00,2914.48,2917.0,2912.78,2914.34,3272,7,0
57,2025-03-12 13:00:00,2914.26,2916.63,2912.65,2915.3,3293,10,0
58,2025-03-12 14:00:00,2915.17,2923.12,2912.2,2917.49,4237,5,0
59,2025-03-12 15:00:00,2917.17,2918.75,2905.97,2915.61,5042,5,0
60,2025-03-12 16:00:00,2915.61,2922.43,2914.27,2921.85,4707,6,0
61,2025-03-12 17:00:00,2921.9,2929.36,2921.42,2928.26,4582,5,0
62,2025-03-12 18:00:00,2928.35,2939.12,2927.92,2936.54,4613,5,0
63,2025-03-12 19:00:00,2936.21,2940.63,2935.85,2936.05,3951,5,0
64,2025-03-12 20:00:00,2935.99,2937.45,2933.77,2935.25,3534,5,0
65,2025-03-12 21:00:00,2935.16,2935.72,2930.96,2931.33,4009,6,0
66,2025-03-12 22:00:00,2931.19,2934.23,2930.7,2933.31,1398,5,0
67,2025-03-13 00:00:00,2934.46,2938.89,2933.51,2938.0,1356,5,0
68,2025-03-13 01:00:00,2938.06,2939.31,2934.66,2938.07,1576,8,0
69,2025-03-13 02:00:00,2938.02,2939.29,2937.58,2938.56,1401,10,0
70,2025-03-13 03:00:00,2938.66,2941.55,2936.47,2937.89,2946,5,0
71,2025-03-13 04:00:00,2937.89,2946.04,2937.54,2944.23,2744,9,0
72,2025-03-13 05:00:00,2944.28,2947.13,2943.03,2945.63,2333,5,0
73,2025-03-13 06:00:00,2945.47,2946.18,2943.47,2944.7,1939,8,0
74,2025-03-13 07:00:00,2944.72,2945.15,2938.24,2940.03,2929,5,0
75,2025-03-13 08:00:00,2940.03,2940.28,2935.36,2937.02,3151,9,0
76,2025-03-13 09:00:00,2937.0,2938.05,2932.99,2935.24,3116,7,0
77,2025-03-13 10:00:00,2935.2,2944.99,2934.81,2941.57,3370,11,0
78,2025-03-13 11:00:00,2941.39,2948.83,2941.02,2947.77,3137,11,0
79,2025-03-13 12:00:00,2947.79,2948.52,2942.15,2944.03,3281,6,0
80,2025-03-13 13:00:00,2944.03,2948.49,2944.03,2946.3,3372,12,0
81,2025-03-13 14:00:00,2946.31,2949.17,2941.04,2942.31,4259,7,0
82,2025-03-13 15:00:00,2942.1,2952.35,2939.27,2950.35,4712,5,0
83,2025-03-13 16:00:00,2950.32,2971.11,2949.73,2969.85,4838,6,0
84,2025-03-13 17:00:00,2970.15,2978.47,2966.46,2977.75,5077,5,0
85,2025-03-13 18:00:00,2977.9,2985.25,2976.74,2980.1,4758,5,0
86,2025-03-13 19:00:00,2980.2,2982.19,2976.38,2979.49,4244,5,0
87,2025-03-13 20:00:00,2979.26,2984.41,2979.12,2983.3,3445,6,0
88,2025-03-13 21:00:00,2983.27,2985.46,2980.58,2982.83,3572,5,0
89,2025-03-13 22:00:00,2982.93,2989.1,2981.17,2988.8,1796,5,0
90,2025-03-14 00:00:00,2989.38,2989.78,2983.03,2987.26,1681,5,0
91,2025-03-14 01:00:00,2987.26,2989.26,2985.39,2986.45,1568,6,0
92,2025-03-14 02:00:00,2986.06,2988.7,2984.88,2986.73,2366,5,0
93,2025-03-14 03:00:00,2986.8,2990.2,2981.69,2987.88,4424,8,0
94,2025-03-14 04:00:00,2987.92,2988.14,2983.95,2984.18,3384,9,0
95,2025-03-14 05:00:00,2984.19,2992.94,2983.96,2992.62,3035,13,0
96,2025-03-14 06:00:00,2992.78,2993.91,2984.37,2985.48,2770,11,0
97,2025-03-14 07:00:00,2985.43,2986.57,2981.91,2986.29,3368,5,0
98,2025-03-14 08:00:00,2986.29,2987.48,2981.22,2985.62,3634,6,0
99,2025-03-14 09:00:00,2985.16,2987.02,2980.84,2986.96,3613,5,0
100,2025-03-14 10:00:00,2986.72,2993.2,2985.18,2992.9,3490,5,0
101,2025-03-14 11:00:00,2992.89,2999.45,2992.69,2998.81,3745,7,0
102,2025-03-14 12:00:00,2998.81,3004.85,2986.59,2993.25,4100,5,0
103,2025-03-14 13:00:00,2993.25,2999.09,2993.25,2993.42,4002,11,0
104,2025-03-14 14:00:00,2993.88,2999.62,2993.37,2993.76,4321,9,0
105,2025-03-14 15:00:00,2993.78,2996.03,2983.39,2985.35,5038,6,0
106,2025-03-14 16:00:00,2985.97,2993.39,2982.04,2985.28,5001,5,0
107,2025-03-14 17:00:00,2985.37,2986.3,2978.45,2984.6,4297,5,0
108,2025-03-14 18:00:00,2984.46,2989.95,2982.99,2989.75,4033,5,0
109,2025-03-14 19:00:00,2989.67,2990.38,2986.36,2986.56,3708,5,0
110,2025-03-14 20:00:00,2986.68,2987.0,2983.27,2983.54,3332,8,0
111,2025-03-14 21:00:00,2983.5,2986.05,2982.28,2984.0,3216,5,0
112,2025-03-14 22:00:00,2984.0,2988.85,2981.67,2986.24,1367,5,0
113,2025-03-17 00:00:00,2983.84,2990.61,2983.84,2989.04,2176,6,0
114,2025-03-17 01:00:00,2989.11,2994.02,2988.29,2990.05,1290,10,0
115,2025-03-17 02:00:00,2990.06,2991.08,2986.41,2990.8,1714,9,0
116,2025-03-17 03:00:00,2990.79,2993.05,2988.67,2990.8,3209,5,0
117,2025-03-17 04:00:00,2990.73,2991.9,2987.05,2988.21,2474,14,0
118,2025-03-17 05:00:00,2988.2,2988.66,2985.29,2986.9,2174,14,0
119,2025-03-17 06:00:00,2986.93,2987.91,2982.37,2982.58,1863,5,0
120,2025-03-17 07:00:00,2982.82,2986.17,2982.22,2986.04,1944,12,0
121,2025-03-17 08:00:00,2986.09,2990.72,2985.38,2989.84,2379,8,0
122,2025-03-17 09:00:00,2989.55,2990.05,2984.04,2985.47,2609,8,0
123,2025-03-17 10:00:00,2985.32,2988.38,2983.04,2988.38,2628,9,0
124,2025-03-17 11:00:00,2988.39,2996.84,2987.57,2995.67,2924,7,0
125,2025-03-17 12:00:00,2995.66,2999.49,2994.79,2999.01,2577,5,0
126,2025-03-17 13:00:00,2999.01,3001.19,2996.61,2997.39,2703,5,0
127,2025-03-17 14:00:00,2997.44,2997.86,2984.8,2987.17,4183,5,0
128,2025-03-17 15:00:00,2987.18,2991.4,2986.04,2988.35,4400,5,0
129,2025-03-17 16:00:00,2988.21,3000.59,2987.16,2998.7,4501,8,0
130,2025-03-17 17:00:00,2998.62,2999.34,2992.92,2997.14,3655,6,0
131,2025-03-17 18:00:00,2997.15,2997.69,2992.95,2994.44,3580,5,0
132,2025-03-17 19:00:00,2994.55,2999.41,2994.55,2997.76,3011,5,0
133,2025-03-17 20:00:00,2997.76,3000.31,2996.83,2999.36,3245,12,0
134,2025-03-17 21:00:00,2999.34,3000.83,2997.7,3000.26,2778,5,0
135,2025-03-17 22:00:00,3000.21,3001.99,3000.11,3001.02,1186,10,0
136,2025-03-18 00:00:00,3000.79,3002.01,2999.94,3000.2,793,10,0
137,2025-03-18 01:00:00,3000.2,3002.73,2999.7,2999.7,956,12,0
